	child	parent
Cell_22060	-1.0	-1.0
Cell_22061	-1.0	-1.0
Cell_22062	-1.0	-1.0
Cell_22063	-1.0	-1.0
Cell_22064	-1.0	-1.0
Cell_22065	-1.0	-1.0
Cell_22066	-1.0	-1.0
Cell_22067	-1.0	-1.0
Cell_22068	-1.0	-1.0
Cell_22069	-1.0	-1.0
Cell_22070	-1.0	-1.0
Cell_22071	-1.0	-1.0
Cell_22072	-1.0	-1.0
Cell_22073	-1.0	-1.0
Cell_22074	-1.0	-1.0
Cell_22075	-1.0	-1.0
Cell_22076	-1.0	-1.0
Cell_22077	-1.0	-1.0
Cell_22078	-1.0	-1.0
Cell_22079	-1.0	-1.0
Cell_22080	-1.0	-1.0
Cell_22081	-1.0	-1.0
Cell_22082	-1.0	-1.0
Cell_22083	-1.0	-1.0
Cell_22084	-1.0	-1.0
Cell_22085	-1.0	-1.0
Cell_22086	-1.0	-1.0
Cell_22087	-1.0	-1.0
Cell_22088	-1.0	-1.0
Cell_22089	-1.0	-1.0
Cell_22090	-1.0	-1.0
Cell_22091	-1.0	-1.0
Cell_22092	-1.0	-1.0
Cell_22093	-1.0	-1.0
Cell_22094	-1.0	-1.0
Cell_22095	-1.0	-1.0
Cell_22096	-1.0	-1.0
Cell_22097	-1.0	-1.0
Cell_22098	-1.0	-1.0
Cell_22099	-1.0	-1.0
Cell_22100	-1.0	-1.0
Cell_22101	-1.0	-1.0
Cell_22102	-1.0	-1.0
Cell_22103	-1.0	-1.0
Cell_22104	-1.0	-1.0
Cell_22105	-1.0	-1.0
Cell_22106	-1.0	-1.0
Cell_22107	-1.0	-1.0
Cell_22108	-1.0	-1.0
Cell_22109	-1.0	-1.0
Cell_22110	-1.0	-1.0
Cell_22111	-1.0	-1.0
Cell_22112	-1.0	-1.0
Cell_22113	-1.0	-1.0
Cell_22114	-1.0	-1.0
Cell_22115	-1.0	-1.0
Cell_22116	-1.0	-1.0
Cell_22117	-1.0	-1.0
Cell_22118	-1.0	-1.0
Cell_22119	-1.0	-1.0
Cell_22120	-1.0	-1.0
Cell_22121	-1.0	-1.0
Cell_22122	-1.0	-1.0
Cell_22123	-1.0	-1.0
Cell_22124	-1.0	-1.0
Cell_22125	-1.0	-1.0
Cell_22126	-1.0	-1.0
Cell_22127	-1.0	-1.0
Cell_22128	-1.0	-1.0
Cell_22129	-1.0	-1.0
Cell_22130	-1.0	-1.0
Cell_22131	-1.0	-1.0
Cell_22132	-1.0	-1.0
Cell_22133	-1.0	-1.0
Cell_22134	-1.0	-1.0
Cell_22135	-1.0	-1.0
Cell_22136	-1.0	-1.0
Cell_22137	-1.0	-1.0
Cell_22138	-1.0	-1.0
Cell_22139	-1.0	-1.0
Cell_22140	-1.0	-1.0
Cell_22141	-1.0	-1.0
Cell_22142	-1.0	-1.0
Cell_22143	-1.0	-1.0
Cell_22144	-1.0	-1.0
Cell_22145	-1.0	-1.0
Cell_22146	-1.0	-1.0
Cell_22147	-1.0	-1.0
Cell_22148	-1.0	-1.0
Cell_22149	-1.0	-1.0
Cell_22150	-1.0	-1.0
Cell_22151	-1.0	-1.0
Cell_22152	-1.0	-1.0
Cell_22153	-1.0	-1.0
Cell_22154	-1.0	-1.0
Cell_22155	-1.0	-1.0
Cell_22156	-1.0	-1.0
Cell_22157	-1.0	-1.0
Cell_22158	-1.0	-1.0
Cell_22159	-1.0	-1.0
Cell_22160	-1.0	-1.0
Cell_22161	-1.0	-1.0
Cell_22162	-1.0	-1.0
Cell_22163	-1.0	-1.0
Cell_22164	-1.0	-1.0
Cell_22165	-1.0	-1.0
Cell_22166	-1.0	-1.0
Cell_22167	-1.0	-1.0
Cell_22168	-1.0	-1.0
Cell_22169	-1.0	-1.0
Cell_22170	-1.0	-1.0
Cell_22171	-1.0	-1.0
Cell_22172	-1.0	-1.0
Cell_22173	-1.0	-1.0
Cell_22174	-1.0	-1.0
Cell_22175	-1.0	-1.0
Cell_22176	-1.0	-1.0
Cell_22177	-1.0	-1.0
Cell_22178	-1.0	-1.0
Cell_22179	-1.0	-1.0
Cell_22180	-1.0	-1.0
Cell_22181	-1.0	-1.0
Cell_22182	-1.0	-1.0
Cell_22183	-1.0	-1.0
Cell_22184	-1.0	-1.0
Cell_22185	-1.0	-1.0
Cell_22186	-1.0	-1.0
Cell_22187	-1.0	-1.0
Cell_22188	-1.0	-1.0
Cell_22189	-1.0	-1.0
Cell_22190	-1.0	-1.0
Cell_22191	-1.0	-1.0
Cell_22192	-1.0	-1.0
Cell_22193	-1.0	-1.0
Cell_22194	-1.0	-1.0
Cell_22195	-1.0	-1.0
Cell_22196	-1.0	-1.0
Cell_22197	-1.0	-1.0
Cell_22198	-1.0	-1.0
Cell_22199	-1.0	-1.0
Cell_22200	-1.0	-1.0
Cell_22201	-1.0	-1.0
Cell_22202	-1.0	-1.0
Cell_22203	-1.0	-1.0
Cell_22204	-1.0	-1.0
Cell_22205	-1.0	-1.0
Cell_22206	-1.0	-1.0
Cell_22207	-1.0	-1.0
Cell_22208	-1.0	-1.0
Cell_22209	-1.0	-1.0
Cell_22210	-1.0	-1.0
Cell_22211	-1.0	-1.0
Cell_22212	-1.0	-1.0
Cell_22213	-1.0	-1.0
Cell_22214	-1.0	-1.0
Cell_22215	-1.0	-1.0
Cell_22216	-1.0	-1.0
Cell_22217	-1.0	-1.0
Cell_22218	-1.0	-1.0
Cell_22219	-1.0	-1.0
Cell_22220	-1.0	-1.0
Cell_22221	-1.0	-1.0
Cell_22222	-1.0	-1.0
Cell_22223	-1.0	-1.0
Cell_22224	-1.0	-1.0
Cell_22225	-1.0	-1.0
Cell_22226	-1.0	-1.0
Cell_22227	-1.0	-1.0
Cell_22228	-1.0	-1.0
Cell_22229	-1.0	-1.0
Cell_22230	-1.0	-1.0
Cell_22231	-1.0	-1.0
Cell_22232	-1.0	-1.0
Cell_22233	-1.0	-1.0
Cell_22234	-1.0	-1.0
Cell_22235	-1.0	-1.0
Cell_22236	-1.0	-1.0
Cell_22237	-1.0	-1.0
Cell_22238	-1.0	-1.0
Cell_22239	-1.0	-1.0
Cell_22240	-1.0	-1.0
Cell_22241	-1.0	-1.0
Cell_22242	-1.0	-1.0
Cell_22243	-1.0	-1.0
Cell_22244	-1.0	-1.0
Cell_22245	-1.0	-1.0
Cell_22246	-1.0	-1.0
Cell_22247	-1.0	-1.0
Cell_22248	-1.0	-1.0
Cell_22249	-1.0	-1.0
Cell_22250	-1.0	-1.0
Cell_22251	-1.0	-1.0
Cell_22252	-1.0	-1.0
Cell_22253	-1.0	-1.0
Cell_22254	-1.0	-1.0
Cell_22255	-1.0	-1.0
Cell_22256	-1.0	-1.0
Cell_22257	-1.0	-1.0
Cell_22258	-1.0	-1.0
Cell_22259	-1.0	-1.0
Cell_22260	-1.0	-1.0
Cell_22261	-1.0	-1.0
Cell_22262	-1.0	-1.0
Cell_22263	-1.0	-1.0
Cell_22264	-1.0	-1.0
Cell_22265	-1.0	-1.0
Cell_22266	-1.0	-1.0
Cell_22267	-1.0	-1.0
Cell_22268	-1.0	-1.0
Cell_22269	-1.0	-1.0
Cell_22270	-1.0	-1.0
Cell_22271	-1.0	-1.0
Cell_22272	-1.0	-1.0
Cell_22273	-1.0	-1.0
Cell_22274	-1.0	-1.0
Cell_22275	-1.0	-1.0
Cell_22276	-1.0	-1.0
Cell_22277	-1.0	-1.0
Cell_22278	-1.0	-1.0
Cell_22279	-1.0	-1.0
Cell_22280	-1.0	-1.0
Cell_22281	-1.0	-1.0
Cell_22282	-1.0	-1.0
Cell_22283	-1.0	-1.0
Cell_22284	-1.0	-1.0
Cell_22285	-1.0	-1.0
Cell_22286	-1.0	-1.0
Cell_22287	-1.0	-1.0
Cell_22288	-1.0	-1.0
Cell_22289	-1.0	-1.0
Cell_22290	-1.0	-1.0
Cell_22291	-1.0	-1.0
Cell_22292	-1.0	-1.0
Cell_22293	-1.0	-1.0
Cell_22294	-1.0	-1.0
Cell_22295	-1.0	-1.0
Cell_22296	-1.0	-1.0
Cell_22297	-1.0	-1.0
Cell_22298	-1.0	-1.0
Cell_22299	-1.0	-1.0
Cell_22300	-1.0	-1.0
Cell_22301	-1.0	-1.0
Cell_22302	-1.0	-1.0
Cell_22303	-1.0	-1.0
Cell_22304	-1.0	-1.0
Cell_22305	-1.0	-1.0
Cell_22306	-1.0	-1.0
Cell_22307	-1.0	-1.0
Cell_22308	-1.0	-1.0
Cell_22309	-1.0	-1.0
Cell_22310	-1.0	-1.0
Cell_22311	-1.0	-1.0
Cell_22312	-1.0	-1.0
Cell_22313	-1.0	-1.0
Cell_22314	-1.0	-1.0
Cell_22315	-1.0	-1.0
Cell_22316	-1.0	-1.0
Cell_22317	-1.0	-1.0
Cell_22318	-1.0	-1.0
Cell_22319	-1.0	-1.0
Cell_22320	-1.0	-1.0
Cell_22321	-1.0	-1.0
Cell_22322	-1.0	-1.0
Cell_22323	-1.0	-1.0
Cell_22324	-1.0	-1.0
Cell_22325	-1.0	-1.0
Cell_22326	-1.0	-1.0
Cell_22327	-1.0	-1.0
Cell_22328	-1.0	-1.0
Cell_22329	-1.0	-1.0
Cell_22330	-1.0	-1.0
Cell_22331	-1.0	-1.0
Cell_22332	-1.0	-1.0
Cell_22333	-1.0	-1.0
Cell_22334	-1.0	-1.0
Cell_22335	-1.0	-1.0
Cell_22336	-1.0	-1.0
Cell_22337	-1.0	-1.0
Cell_22338	-1.0	-1.0
Cell_22339	-1.0	-1.0
Cell_22340	-1.0	-1.0
Cell_22341	-1.0	-1.0
Cell_22342	-1.0	-1.0
Cell_22343	-1.0	-1.0
Cell_22344	-1.0	-1.0
Cell_22345	-1.0	-1.0
Cell_22346	-1.0	-1.0
Cell_22347	-1.0	-1.0
Cell_22348	-1.0	-1.0
Cell_22349	-1.0	-1.0
Cell_22350	-1.0	-1.0
Cell_22351	-1.0	-1.0
Cell_22352	-1.0	-1.0
Cell_22353	-1.0	-1.0
Cell_22354	-1.0	-1.0
Cell_22355	-1.0	-1.0
Cell_22356	-1.0	-1.0
Cell_22357	-1.0	-1.0
Cell_22358	-1.0	-1.0
Cell_22359	-1.0	-1.0
Cell_22360	-1.0	-1.0
Cell_22361	-1.0	-1.0
Cell_22362	-1.0	-1.0
Cell_22363	-1.0	-1.0
Cell_22364	-1.0	-1.0
Cell_22365	-1.0	-1.0
Cell_22366	-1.0	-1.0
Cell_22367	-1.0	-1.0
Cell_22368	-1.0	-1.0
Cell_22369	-1.0	-1.0
Cell_22370	-1.0	-1.0
Cell_22371	-1.0	-1.0
Cell_22372	-1.0	-1.0
Cell_22373	-1.0	-1.0
Cell_22374	-1.0	-1.0
Cell_22375	-1.0	-1.0
Cell_22376	-1.0	-1.0
Cell_22377	-1.0	-1.0
Cell_22378	-1.0	-1.0
Cell_22379	-1.0	-1.0
Cell_22380	-1.0	-1.0
Cell_22381	-1.0	-1.0
Cell_22382	-1.0	-1.0
Cell_22383	-1.0	-1.0
Cell_22384	-1.0	-1.0
Cell_22385	-1.0	-1.0
Cell_22386	-1.0	-1.0
Cell_22387	-1.0	-1.0
Cell_22388	-1.0	-1.0
Cell_22389	-1.0	-1.0
Cell_22390	-1.0	-1.0
Cell_22391	-1.0	-1.0
Cell_22392	-1.0	-1.0
Cell_22393	-1.0	-1.0
Cell_22394	-1.0	-1.0
Cell_22395	-1.0	-1.0
Cell_22396	-1.0	-1.0
Cell_22397	-1.0	-1.0
Cell_22398	-1.0	-1.0
Cell_22399	-1.0	-1.0
Cell_22400	-1.0	-1.0
Cell_22401	-1.0	-1.0
Cell_22402	-1.0	-1.0
Cell_22403	-1.0	-1.0
Cell_22404	-1.0	-1.0
Cell_22405	-1.0	-1.0
Cell_22406	-1.0	-1.0
Cell_22407	-1.0	-1.0
Cell_22408	-1.0	-1.0
Cell_22409	-1.0	-1.0
Cell_22410	-1.0	-1.0
Cell_22411	-1.0	-1.0
Cell_22412	-1.0	-1.0
Cell_22413	-1.0	-1.0
Cell_22414	-1.0	-1.0
Cell_22415	-1.0	-1.0
Cell_22416	-1.0	-1.0
Cell_22417	-1.0	-1.0
Cell_22418	-1.0	-1.0
Cell_22419	-1.0	-1.0
Cell_22420	-1.0	-1.0
Cell_22421	-1.0	-1.0
Cell_22422	-1.0	-1.0
Cell_22423	-1.0	-1.0
Cell_22424	-1.0	-1.0
Cell_22425	-1.0	-1.0
Cell_22426	-1.0	-1.0
Cell_22427	-1.0	-1.0
Cell_22428	-1.0	-1.0
Cell_22429	-1.0	-1.0
Cell_22430	-1.0	-1.0
Cell_22431	-1.0	-1.0
Cell_22432	-1.0	-1.0
Cell_22433	-1.0	-1.0
Cell_22434	-1.0	-1.0
Cell_22435	-1.0	-1.0
Cell_22436	-1.0	-1.0
Cell_22437	-1.0	-1.0
Cell_22438	-1.0	-1.0
Cell_22439	-1.0	-1.0
Cell_22440	-1.0	-1.0
Cell_22441	-1.0	-1.0
Cell_22442	-1.0	-1.0
Cell_22443	-1.0	-1.0
Cell_22444	-1.0	-1.0
Cell_22445	-1.0	-1.0
Cell_22446	-1.0	-1.0
Cell_22447	-1.0	-1.0
Cell_22448	-1.0	-1.0
Cell_22449	-1.0	-1.0
Cell_22450	-1.0	-1.0
Cell_22451	-1.0	-1.0
Cell_22452	-1.0	-1.0
Cell_22453	-1.0	-1.0
Cell_22454	-1.0	-1.0
Cell_22455	-1.0	-1.0
Cell_22456	-1.0	-1.0
Cell_22457	-1.0	-1.0
Cell_22458	-1.0	-1.0
Cell_22459	-1.0	-1.0
Cell_22460	-1.0	-1.0
Cell_22461	-1.0	-1.0
Cell_22462	-1.0	-1.0
Cell_22463	-1.0	-1.0
Cell_22464	-1.0	-1.0
Cell_22465	-1.0	-1.0
Cell_22466	-1.0	-1.0
Cell_22467	-1.0	-1.0
Cell_22468	-1.0	-1.0
Cell_22469	-1.0	-1.0
Cell_22470	-1.0	-1.0
Cell_22471	-1.0	-1.0
Cell_22472	-1.0	-1.0
Cell_22473	-1.0	-1.0
Cell_22474	-1.0	-1.0
Cell_22475	-1.0	-1.0
Cell_22476	-1.0	-1.0
Cell_22477	-1.0	-1.0
Cell_22478	-1.0	-1.0
Cell_22479	-1.0	-1.0
Cell_22480	-1.0	-1.0
Cell_22481	-1.0	-1.0
Cell_22482	-1.0	-1.0
Cell_22483	-1.0	-1.0
Cell_22484	-1.0	-1.0
Cell_22485	-1.0	-1.0
Cell_22486	-1.0	-1.0
Cell_22487	-1.0	-1.0
Cell_22488	-1.0	-1.0
Cell_22489	-1.0	-1.0
Cell_22490	-1.0	-1.0
Cell_22491	-1.0	-1.0
Cell_22492	-1.0	-1.0
Cell_22493	-1.0	-1.0
Cell_22494	-1.0	-1.0
Cell_22495	-1.0	-1.0
Cell_22496	-1.0	-1.0
Cell_22497	-1.0	-1.0
Cell_22498	-1.0	-1.0
Cell_22499	-1.0	-1.0
Cell_22500	-1.0	-1.0
Cell_22501	-1.0	-1.0
Cell_22502	-1.0	-1.0
Cell_22503	-1.0	-1.0
Cell_22504	-1.0	-1.0
Cell_22505	-1.0	-1.0
Cell_22506	-1.0	-1.0
Cell_22507	-1.0	-1.0
Cell_22508	-1.0	-1.0
Cell_22509	-1.0	-1.0
Cell_22510	-1.0	-1.0
Cell_22511	-1.0	-1.0
Cell_22512	-1.0	-1.0
Cell_22513	-1.0	-1.0
Cell_22514	-1.0	-1.0
Cell_22515	-1.0	-1.0
Cell_22516	-1.0	-1.0
Cell_22517	-1.0	-1.0
Cell_22518	-1.0	-1.0
Cell_22519	-1.0	-1.0
Cell_22520	-1.0	-1.0
Cell_22521	-1.0	-1.0
Cell_22522	-1.0	-1.0
Cell_22523	-1.0	-1.0
Cell_22524	-1.0	-1.0
Cell_22525	-1.0	-1.0
Cell_22526	-1.0	-1.0
Cell_22527	-1.0	-1.0
Cell_22528	-1.0	-1.0
Cell_22529	-1.0	-1.0
Cell_22530	-1.0	-1.0
Cell_22531	-1.0	-1.0
Cell_22532	-1.0	-1.0
Cell_22533	-1.0	-1.0
Cell_22534	-1.0	-1.0
Cell_22535	-1.0	-1.0
Cell_22536	-1.0	-1.0
Cell_22537	-1.0	-1.0
Cell_22538	-1.0	-1.0
Cell_22539	-1.0	-1.0
Cell_22540	-1.0	-1.0
Cell_22541	-1.0	-1.0
Cell_22542	-1.0	-1.0
Cell_22543	-1.0	-1.0
Cell_22544	-1.0	-1.0
Cell_22545	-1.0	-1.0
Cell_22546	-1.0	-1.0
Cell_22547	-1.0	-1.0
Cell_22548	-1.0	-1.0
Cell_22549	-1.0	-1.0
Cell_22550	-1.0	-1.0
Cell_22551	-1.0	-1.0
Cell_22552	-1.0	-1.0
Cell_22553	-1.0	-1.0
Cell_22554	-1.0	-1.0
Cell_22555	-1.0	-1.0
Cell_22556	-1.0	-1.0
Cell_22557	-1.0	-1.0
Cell_22558	-1.0	-1.0
Cell_22559	-1.0	-1.0
Cell_22560	-1.0	-1.0
Cell_22561	-1.0	-1.0
Cell_22562	-1.0	-1.0
Cell_22563	-1.0	-1.0
Cell_22564	-1.0	-1.0
Cell_22565	-1.0	-1.0
Cell_22566	-1.0	-1.0
Cell_22567	-1.0	-1.0
Cell_22568	-1.0	-1.0
Cell_22569	-1.0	-1.0
Cell_22570	-1.0	-1.0
Cell_22571	-1.0	-1.0
Cell_22572	-1.0	-1.0
Cell_22573	-1.0	-1.0
Cell_22574	-1.0	-1.0
Cell_22575	-1.0	-1.0
Cell_22576	-1.0	-1.0
Cell_22577	-1.0	-1.0
Cell_22578	-1.0	-1.0
Cell_22579	-1.0	-1.0
Cell_22580	-1.0	-1.0
Cell_22581	-1.0	-1.0
Cell_22582	-1.0	-1.0
Cell_22583	-1.0	-1.0
Cell_22584	-1.0	-1.0
Cell_22585	-1.0	-1.0
Cell_22586	-1.0	-1.0
Cell_22587	-1.0	-1.0
Cell_22588	-1.0	-1.0
Cell_22589	-1.0	-1.0
Cell_22590	-1.0	-1.0
Cell_22591	-1.0	-1.0
Cell_22592	-1.0	-1.0
Cell_22593	-1.0	-1.0
Cell_22594	-1.0	-1.0
Cell_22595	-1.0	-1.0
Cell_22596	-1.0	-1.0
Cell_22597	-1.0	-1.0
Cell_22598	-1.0	-1.0
Cell_22599	-1.0	-1.0
Cell_22600	-1.0	-1.0
Cell_22601	-1.0	-1.0
Cell_22602	-1.0	-1.0
Cell_22603	-1.0	-1.0
Cell_22604	-1.0	-1.0
Cell_22605	-1.0	-1.0
Cell_22606	-1.0	-1.0
Cell_22607	-1.0	-1.0
Cell_22608	-1.0	-1.0
Cell_22609	-1.0	-1.0
Cell_22610	-1.0	-1.0
Cell_22611	-1.0	-1.0
Cell_22612	-1.0	-1.0
Cell_22613	-1.0	-1.0
Cell_22614	-1.0	-1.0
Cell_22615	-1.0	-1.0
Cell_22616	-1.0	-1.0
Cell_22617	-1.0	-1.0
Cell_22618	-1.0	-1.0
Cell_22619	-1.0	-1.0
Cell_22620	-1.0	-1.0
Cell_22621	-1.0	-1.0
Cell_22622	-1.0	-1.0
Cell_22623	-1.0	-1.0
Cell_22624	-1.0	-1.0
Cell_22625	-1.0	-1.0
Cell_22626	-1.0	-1.0
Cell_22627	-1.0	-1.0
Cell_22628	-1.0	-1.0
Cell_22629	-1.0	-1.0
Cell_22630	-1.0	-1.0
Cell_22631	-1.0	-1.0
Cell_22632	-1.0	-1.0
Cell_22633	-1.0	-1.0
Cell_22634	-1.0	-1.0
Cell_22635	-1.0	-1.0
Cell_22636	-1.0	-1.0
Cell_22637	-1.0	-1.0
Cell_22638	-1.0	-1.0
Cell_22639	-1.0	-1.0
Cell_22640	-1.0	-1.0
Cell_22641	-1.0	-1.0
Cell_22642	-1.0	-1.0
Cell_22643	-1.0	-1.0
Cell_22644	-1.0	-1.0
Cell_22645	-1.0	-1.0
Cell_22646	-1.0	-1.0
Cell_22647	-1.0	-1.0
Cell_22648	-1.0	-1.0
Cell_22649	-1.0	-1.0
Cell_22650	-1.0	-1.0
Cell_22651	-1.0	-1.0
Cell_22652	-1.0	-1.0
Cell_22653	-1.0	-1.0
Cell_22654	-1.0	-1.0
Cell_22655	-1.0	-1.0
Cell_22656	-1.0	-1.0
Cell_22657	-1.0	-1.0
Cell_22658	-1.0	-1.0
Cell_22659	-1.0	-1.0
Cell_22660	-1.0	-1.0
Cell_22661	-1.0	-1.0
Cell_22662	-1.0	-1.0
Cell_22663	-1.0	-1.0
Cell_22664	-1.0	-1.0
Cell_22665	-1.0	-1.0
Cell_22666	-1.0	-1.0
Cell_22667	-1.0	-1.0
Cell_22668	-1.0	-1.0
Cell_22669	-1.0	-1.0
Cell_22670	-1.0	-1.0
Cell_22671	-1.0	-1.0
Cell_22672	-1.0	-1.0
Cell_22673	-1.0	-1.0
Cell_22674	-1.0	-1.0
Cell_22675	-1.0	-1.0
Cell_22676	-1.0	-1.0
Cell_22677	-1.0	-1.0
Cell_22678	-1.0	-1.0
Cell_22679	-1.0	-1.0
Cell_22680	-1.0	-1.0
Cell_22681	-1.0	-1.0
Cell_22682	-1.0	-1.0
Cell_22683	-1.0	-1.0
Cell_22684	-1.0	-1.0
Cell_22685	-1.0	-1.0
Cell_22686	-1.0	-1.0
Cell_22687	-1.0	-1.0
Cell_22688	-1.0	-1.0
Cell_22689	-1.0	-1.0
Cell_22690	-1.0	-1.0
Cell_22691	-1.0	-1.0
Cell_22692	-1.0	-1.0
Cell_22693	-1.0	-1.0
Cell_22694	-1.0	-1.0
Cell_22695	-1.0	-1.0
Cell_22696	-1.0	-1.0
Cell_22697	-1.0	-1.0
Cell_22698	-1.0	-1.0
Cell_22699	-1.0	-1.0
Cell_22700	-1.0	-1.0
Cell_22701	-1.0	-1.0
Cell_22702	-1.0	-1.0
Cell_22703	-1.0	-1.0
Cell_22704	-1.0	-1.0
Cell_22705	-1.0	-1.0
Cell_22706	-1.0	-1.0
Cell_22707	-1.0	-1.0
Cell_22708	-1.0	-1.0
Cell_22709	-1.0	-1.0
Cell_22710	-1.0	-1.0
Cell_22711	-1.0	-1.0
Cell_22712	-1.0	-1.0
Cell_22713	-1.0	-1.0
Cell_22714	-1.0	-1.0
Cell_22715	-1.0	-1.0
Cell_22716	-1.0	-1.0
Cell_22717	-1.0	-1.0
Cell_22718	-1.0	-1.0
Cell_22719	-1.0	-1.0
Cell_22720	-1.0	-1.0
Cell_22721	-1.0	-1.0
Cell_22722	-1.0	-1.0
Cell_22723	-1.0	-1.0
Cell_22724	-1.0	-1.0
Cell_22725	-1.0	-1.0
Cell_22726	-1.0	-1.0
Cell_22727	-1.0	-1.0
Cell_22728	-1.0	-1.0
Cell_22729	-1.0	-1.0
Cell_22730	-1.0	-1.0
Cell_22731	-1.0	-1.0
Cell_22732	-1.0	-1.0
Cell_22733	-1.0	-1.0
Cell_22734	-1.0	-1.0
Cell_22735	-1.0	-1.0
Cell_22736	-1.0	-1.0
Cell_22737	-1.0	-1.0
Cell_22738	-1.0	-1.0
Cell_22739	-1.0	-1.0
Cell_22740	-1.0	-1.0
Cell_22741	-1.0	-1.0
Cell_22742	-1.0	-1.0
Cell_22743	-1.0	-1.0
Cell_22744	-1.0	-1.0
Cell_22745	-1.0	-1.0
Cell_22746	-1.0	-1.0
Cell_22747	-1.0	-1.0
Cell_22748	-1.0	-1.0
Cell_22749	-1.0	-1.0
Cell_22750	-1.0	-1.0
Cell_22751	-1.0	-1.0
Cell_22752	-1.0	-1.0
Cell_22753	-1.0	-1.0
Cell_22754	-1.0	-1.0
Cell_22755	-1.0	-1.0
Cell_22756	-1.0	-1.0
Cell_22757	-1.0	-1.0
Cell_22758	-1.0	-1.0
Cell_22759	-1.0	-1.0
Cell_22760	-1.0	-1.0
Cell_22761	-1.0	-1.0
Cell_22762	-1.0	-1.0
Cell_22763	-1.0	-1.0
Cell_22764	-1.0	-1.0
Cell_22765	-1.0	-1.0
Cell_22766	-1.0	-1.0
Cell_22767	-1.0	-1.0
Cell_22768	-1.0	-1.0
Cell_22769	-1.0	-1.0
Cell_22770	-1.0	-1.0
Cell_22771	-1.0	-1.0
Cell_22772	-1.0	-1.0
Cell_22773	-1.0	-1.0
Cell_22774	-1.0	-1.0
Cell_22775	-1.0	-1.0
Cell_22776	-1.0	-1.0
Cell_22777	-1.0	-1.0
Cell_22778	-1.0	-1.0
Cell_22779	-1.0	-1.0
Cell_22780	-1.0	-1.0
Cell_22781	-1.0	-1.0
Cell_22782	-1.0	-1.0
Cell_22783	-1.0	-1.0
Cell_22784	-1.0	-1.0
Cell_22785	-1.0	-1.0
Cell_22786	-1.0	-1.0
Cell_22787	-1.0	-1.0
Cell_22788	-1.0	-1.0
Cell_22789	-1.0	-1.0
Cell_22790	-1.0	-1.0
Cell_22791	-1.0	-1.0
Cell_22792	-1.0	-1.0
Cell_22793	-1.0	-1.0
Cell_22794	-1.0	-1.0
Cell_22795	-1.0	-1.0
Cell_22796	-1.0	-1.0
Cell_22797	-1.0	-1.0
Cell_22798	-1.0	-1.0
Cell_22799	-1.0	-1.0
Cell_22800	-1.0	-1.0
Cell_22801	-1.0	-1.0
Cell_22802	-1.0	-1.0
Cell_22803	-1.0	-1.0
Cell_22804	-1.0	-1.0
Cell_22805	-1.0	-1.0
Cell_22806	-1.0	-1.0
Cell_22807	-1.0	-1.0
Cell_22808	-1.0	-1.0
Cell_22809	-1.0	-1.0
Cell_22810	-1.0	-1.0
Cell_22811	-1.0	-1.0
Cell_22812	-1.0	-1.0
Cell_22813	-1.0	-1.0
Cell_22814	-1.0	-1.0
Cell_22815	-1.0	-1.0
Cell_22816	-1.0	-1.0
Cell_22817	-1.0	-1.0
Cell_22818	-1.0	-1.0
Cell_22819	-1.0	-1.0
Cell_22820	-1.0	-1.0
Cell_22821	-1.0	-1.0
Cell_22822	-1.0	-1.0
Cell_22823	-1.0	-1.0
Cell_22824	-1.0	-1.0
Cell_22825	-1.0	-1.0
Cell_22826	-1.0	-1.0
Cell_22827	-1.0	-1.0
Cell_22828	-1.0	-1.0
Cell_22829	-1.0	-1.0
Cell_22830	-1.0	-1.0
Cell_22831	-1.0	-1.0
Cell_22832	-1.0	-1.0
Cell_22833	-1.0	-1.0
Cell_22834	-1.0	-1.0
Cell_22835	-1.0	-1.0
Cell_22836	-1.0	-1.0
Cell_22837	-1.0	-1.0
Cell_22838	-1.0	-1.0
Cell_22839	-1.0	-1.0
Cell_22840	-1.0	-1.0
Cell_22841	-1.0	-1.0
Cell_22842	-1.0	-1.0
Cell_22843	-1.0	-1.0
Cell_22844	-1.0	-1.0
Cell_22845	-1.0	-1.0
Cell_22846	-1.0	-1.0
Cell_22847	-1.0	-1.0
Cell_22848	-1.0	-1.0
Cell_22849	-1.0	-1.0
Cell_22850	-1.0	-1.0
Cell_22851	-1.0	-1.0
Cell_22852	-1.0	-1.0
Cell_22853	-1.0	-1.0
Cell_22854	-1.0	-1.0
Cell_22855	-1.0	-1.0
Cell_22856	-1.0	-1.0
Cell_22857	-1.0	-1.0
Cell_22858	-1.0	-1.0
Cell_22859	-1.0	-1.0
Cell_22860	-1.0	-1.0
Cell_22861	-1.0	-1.0
Cell_22862	-1.0	-1.0
Cell_22863	-1.0	-1.0
Cell_22864	-1.0	-1.0
Cell_22865	-1.0	-1.0
Cell_22866	-1.0	-1.0
Cell_22867	-1.0	-1.0
Cell_22868	-1.0	-1.0
Cell_22869	-1.0	-1.0
Cell_22870	-1.0	-1.0
Cell_22871	-1.0	-1.0
Cell_22872	-1.0	-1.0
Cell_22873	-1.0	-1.0
Cell_22874	-1.0	-1.0
Cell_22875	-1.0	-1.0
Cell_22876	-1.0	-1.0
Cell_22877	-1.0	-1.0
Cell_22878	-1.0	-1.0
Cell_22879	-1.0	-1.0
Cell_22880	-1.0	-1.0
Cell_22881	-1.0	-1.0
Cell_22882	-1.0	-1.0
