	x	y	cluster
Cell_25279	114.0	89.0	10.0
Cell_25280	114.0	90.0	10.0
Cell_25281	114.0	91.0	10.0
Cell_25282	114.0	92.0	10.0
Cell_25283	114.0	93.0	10.0
Cell_25284	114.0	94.0	10.0
Cell_25285	114.0	95.0	10.0
Cell_25286	114.0	96.0	10.0
Cell_25287	114.0	97.0	10.0
Cell_25288	114.0	98.0	10.0
Cell_25289	114.0	99.0	10.0
Cell_25290	114.0	100.0	10.0
Cell_25291	114.0	101.0	10.0
Cell_25292	114.0	102.0	10.0
Cell_25293	114.0	103.0	10.0
Cell_25294	114.0	104.0	10.0
Cell_25295	114.0	105.0	10.0
Cell_25296	114.0	106.0	10.0
Cell_25297	114.0	107.0	10.0
Cell_25298	114.0	108.0	10.0
Cell_25299	114.0	109.0	10.0
Cell_25300	114.0	110.0	10.0
Cell_25301	114.0	111.0	10.0
Cell_25302	114.0	112.0	10.0
Cell_25303	114.0	113.0	10.0
Cell_25304	114.0	114.0	10.0
Cell_25305	114.0	115.0	10.0
Cell_25306	114.0	116.0	10.0
Cell_25307	114.0	117.0	10.0
Cell_25308	114.0	118.0	10.0
Cell_25309	114.0	119.0	10.0
Cell_25310	114.0	120.0	10.0
Cell_25311	114.0	121.0	10.0
Cell_25312	114.0	122.0	10.0
Cell_25313	114.0	123.0	10.0
Cell_25314	114.0	124.0	10.0
Cell_25315	114.0	125.0	10.0
Cell_25316	114.0	126.0	10.0
Cell_25317	114.0	127.0	10.0
Cell_25318	114.0	128.0	10.0
Cell_25319	114.0	129.0	10.0
Cell_25320	114.0	130.0	10.0
Cell_25321	114.0	131.0	10.0
Cell_25322	114.0	132.0	10.0
Cell_25323	114.0	133.0	10.0
Cell_25324	114.0	134.0	10.0
Cell_25325	114.0	135.0	10.0
Cell_25326	114.0	136.0	10.0
Cell_25327	114.0	137.0	10.0
Cell_25328	114.0	138.0	10.0
Cell_25329	114.0	139.0	10.0
Cell_25330	114.0	140.0	10.0
Cell_25331	114.0	141.0	10.0
Cell_25332	114.0	142.0	10.0
Cell_25333	114.0	143.0	10.0
Cell_25334	114.0	144.0	10.0
Cell_25335	114.0	145.0	10.0
Cell_25336	114.0	146.0	10.0
Cell_25337	114.0	147.0	10.0
Cell_25338	114.0	149.0	10.0
Cell_25339	114.0	150.0	10.0
Cell_25340	114.0	153.0	10.0
Cell_25341	114.0	154.0	10.0
Cell_25342	114.0	155.0	10.0
Cell_25343	114.0	156.0	10.0
Cell_25344	114.0	159.0	10.0
Cell_25345	114.0	160.0	10.0
Cell_25346	114.0	161.0	10.0
Cell_25347	114.0	162.0	10.0
Cell_25348	114.0	163.0	10.0
Cell_25349	114.0	164.0	10.0
Cell_25350	114.0	165.0	10.0
Cell_25351	114.0	166.0	10.0
Cell_25352	114.0	167.0	10.0
Cell_25353	114.0	168.0	10.0
Cell_25354	114.0	169.0	10.0
Cell_25355	114.0	170.0	10.0
Cell_25356	114.0	171.0	10.0
Cell_25357	114.0	172.0	10.0
Cell_25358	114.0	173.0	10.0
Cell_25359	114.0	174.0	10.0
Cell_25360	114.0	175.0	10.0
Cell_25361	114.0	176.0	10.0
Cell_25362	114.0	177.0	10.0
Cell_25363	114.0	178.0	10.0
Cell_25364	114.0	179.0	10.0
Cell_25365	114.0	180.0	10.0
Cell_25366	114.0	181.0	10.0
Cell_25367	114.0	182.0	10.0
Cell_25368	114.0	183.0	10.0
Cell_25369	114.0	184.0	10.0
Cell_25370	114.0	185.0	10.0
Cell_25371	114.0	186.0	10.0
Cell_25372	114.0	187.0	10.0
Cell_25373	114.0	188.0	10.0
Cell_25374	114.0	189.0	10.0
Cell_25375	114.0	190.0	10.0
Cell_25376	114.0	191.0	10.0
Cell_25377	114.0	192.0	10.0
Cell_25378	114.0	193.0	10.0
Cell_25379	114.0	194.0	10.0
Cell_25380	114.0	195.0	10.0
Cell_25381	114.0	196.0	10.0
Cell_25382	114.0	197.0	10.0
Cell_25383	114.0	198.0	10.0
Cell_25384	114.0	199.0	10.0
Cell_25385	115.0	0.0	10.0
Cell_25386	115.0	1.0	10.0
Cell_25387	115.0	2.0	10.0
Cell_25388	115.0	3.0	10.0
Cell_25389	115.0	4.0	10.0
Cell_25390	115.0	5.0	10.0
Cell_25391	115.0	6.0	10.0
Cell_25392	115.0	7.0	10.0
Cell_25393	115.0	8.0	10.0
Cell_25394	115.0	9.0	10.0
Cell_25395	115.0	10.0	10.0
Cell_25396	115.0	11.0	10.0
Cell_25397	115.0	12.0	10.0
Cell_25398	115.0	13.0	10.0
Cell_25399	115.0	14.0	10.0
Cell_25400	115.0	15.0	10.0
Cell_25401	115.0	16.0	10.0
Cell_25402	115.0	17.0	10.0
Cell_25403	115.0	18.0	10.0
Cell_25404	115.0	19.0	10.0
Cell_25405	115.0	20.0	10.0
Cell_25406	115.0	21.0	10.0
Cell_25407	115.0	22.0	10.0
Cell_25408	115.0	23.0	10.0
Cell_25409	115.0	24.0	10.0
Cell_25410	115.0	25.0	10.0
Cell_25411	115.0	26.0	10.0
Cell_25412	115.0	27.0	10.0
Cell_25413	115.0	28.0	10.0
Cell_25414	115.0	29.0	10.0
Cell_25415	115.0	30.0	10.0
Cell_25416	115.0	31.0	10.0
Cell_25417	115.0	32.0	10.0
Cell_25418	115.0	33.0	10.0
Cell_25419	115.0	34.0	10.0
Cell_25420	115.0	35.0	10.0
Cell_25421	115.0	36.0	10.0
Cell_25422	115.0	37.0	10.0
Cell_25423	115.0	38.0	10.0
Cell_25424	115.0	39.0	10.0
Cell_25425	115.0	40.0	10.0
Cell_25426	115.0	41.0	10.0
Cell_25427	115.0	42.0	10.0
Cell_25428	115.0	43.0	10.0
Cell_25429	115.0	44.0	10.0
Cell_25430	115.0	45.0	10.0
Cell_25431	115.0	46.0	10.0
Cell_25432	115.0	47.0	10.0
Cell_25433	115.0	48.0	10.0
Cell_25434	115.0	49.0	10.0
Cell_25435	115.0	50.0	10.0
Cell_25436	115.0	51.0	10.0
Cell_25437	115.0	52.0	10.0
Cell_25438	115.0	53.0	10.0
Cell_25439	115.0	54.0	10.0
Cell_25440	115.0	55.0	10.0
Cell_25441	115.0	56.0	10.0
Cell_25442	115.0	57.0	10.0
Cell_25443	115.0	58.0	10.0
Cell_25444	115.0	59.0	10.0
Cell_25445	115.0	60.0	10.0
Cell_25446	115.0	61.0	10.0
Cell_25447	115.0	62.0	10.0
Cell_25448	115.0	63.0	10.0
Cell_25449	115.0	64.0	10.0
Cell_25450	115.0	65.0	10.0
Cell_25451	115.0	66.0	10.0
Cell_25452	115.0	67.0	10.0
Cell_25453	115.0	68.0	10.0
Cell_25454	115.0	69.0	10.0
Cell_25455	115.0	70.0	10.0
Cell_25456	115.0	71.0	10.0
Cell_25457	115.0	72.0	10.0
Cell_25458	115.0	73.0	10.0
Cell_25459	115.0	74.0	10.0
Cell_25460	115.0	75.0	10.0
Cell_25461	115.0	76.0	10.0
Cell_25462	115.0	77.0	10.0
Cell_25463	115.0	78.0	10.0
Cell_25464	115.0	79.0	10.0
Cell_25465	115.0	80.0	10.0
Cell_25466	115.0	81.0	10.0
Cell_25467	115.0	82.0	10.0
Cell_25468	115.0	83.0	10.0
Cell_25469	115.0	84.0	10.0
Cell_25470	115.0	85.0	10.0
Cell_25471	115.0	86.0	10.0
Cell_25472	115.0	87.0	10.0
Cell_25473	115.0	88.0	10.0
Cell_25474	115.0	89.0	10.0
Cell_25475	115.0	90.0	10.0
Cell_25476	115.0	91.0	10.0
Cell_25477	115.0	92.0	10.0
Cell_25478	115.0	93.0	10.0
Cell_25479	115.0	94.0	10.0
Cell_25480	115.0	95.0	10.0
Cell_25481	115.0	96.0	10.0
Cell_25482	115.0	97.0	10.0
Cell_25483	115.0	98.0	10.0
Cell_25484	115.0	99.0	10.0
Cell_25485	115.0	100.0	10.0
Cell_25486	115.0	101.0	10.0
Cell_25487	115.0	102.0	10.0
Cell_25488	115.0	103.0	10.0
Cell_25489	115.0	104.0	10.0
Cell_25490	115.0	105.0	10.0
Cell_25491	115.0	106.0	10.0
Cell_25492	115.0	107.0	10.0
Cell_25493	115.0	108.0	10.0
Cell_25494	115.0	109.0	10.0
Cell_25495	115.0	110.0	10.0
Cell_25496	115.0	111.0	10.0
Cell_25497	115.0	112.0	10.0
Cell_25498	115.0	113.0	10.0
Cell_25499	115.0	114.0	10.0
Cell_25500	115.0	115.0	10.0
Cell_25501	115.0	116.0	10.0
Cell_25502	115.0	117.0	10.0
Cell_25503	115.0	118.0	10.0
Cell_25504	115.0	119.0	10.0
Cell_25505	115.0	120.0	10.0
Cell_25506	115.0	121.0	10.0
Cell_25507	115.0	122.0	10.0
Cell_25508	115.0	123.0	10.0
Cell_25509	115.0	124.0	10.0
Cell_25510	115.0	125.0	10.0
Cell_25511	115.0	126.0	10.0
Cell_25512	115.0	127.0	10.0
Cell_25513	115.0	128.0	10.0
Cell_25514	115.0	129.0	10.0
Cell_25515	115.0	130.0	10.0
Cell_25516	115.0	131.0	10.0
Cell_25517	115.0	132.0	10.0
Cell_25518	115.0	133.0	10.0
Cell_25519	115.0	134.0	10.0
Cell_25520	115.0	135.0	10.0
Cell_25521	115.0	136.0	10.0
Cell_25522	115.0	137.0	10.0
Cell_25523	115.0	138.0	10.0
Cell_25524	115.0	139.0	10.0
Cell_25525	115.0	140.0	10.0
Cell_25526	115.0	141.0	10.0
Cell_25527	115.0	142.0	10.0
Cell_25528	115.0	143.0	10.0
Cell_25529	115.0	144.0	10.0
Cell_25530	115.0	151.0	10.0
Cell_25531	115.0	152.0	10.0
Cell_25532	115.0	154.0	10.0
Cell_25533	115.0	155.0	10.0
Cell_25534	115.0	156.0	10.0
Cell_25535	115.0	160.0	10.0
Cell_25536	115.0	161.0	10.0
Cell_25537	115.0	162.0	10.0
Cell_25538	115.0	163.0	10.0
Cell_25539	115.0	164.0	10.0
Cell_25540	115.0	165.0	10.0
Cell_25541	115.0	166.0	10.0
Cell_25542	115.0	167.0	10.0
Cell_25543	115.0	168.0	10.0
Cell_25544	115.0	169.0	10.0
Cell_25545	115.0	170.0	10.0
Cell_25546	115.0	171.0	10.0
Cell_25547	115.0	172.0	10.0
Cell_25548	115.0	173.0	10.0
Cell_25549	115.0	174.0	10.0
Cell_25550	115.0	175.0	10.0
Cell_25551	115.0	176.0	10.0
Cell_25552	115.0	177.0	10.0
Cell_25553	115.0	178.0	10.0
Cell_25554	115.0	179.0	10.0
Cell_25555	115.0	180.0	10.0
Cell_25556	115.0	181.0	10.0
Cell_25557	115.0	182.0	10.0
Cell_25558	115.0	183.0	10.0
Cell_25559	115.0	184.0	10.0
Cell_25560	115.0	185.0	10.0
Cell_25561	115.0	186.0	10.0
Cell_25562	115.0	187.0	10.0
Cell_25563	115.0	188.0	10.0
Cell_25564	115.0	189.0	10.0
Cell_25565	115.0	190.0	10.0
Cell_25566	115.0	191.0	10.0
Cell_25567	115.0	192.0	10.0
Cell_25568	115.0	193.0	10.0
Cell_25569	115.0	194.0	10.0
Cell_25570	115.0	195.0	10.0
Cell_25571	115.0	196.0	10.0
Cell_25572	115.0	197.0	10.0
Cell_25573	115.0	198.0	10.0
Cell_25574	115.0	199.0	10.0
Cell_25575	116.0	0.0	10.0
Cell_25576	116.0	1.0	10.0
Cell_25577	116.0	2.0	10.0
Cell_25578	116.0	3.0	10.0
Cell_25579	116.0	4.0	10.0
Cell_25580	116.0	5.0	10.0
Cell_25581	116.0	6.0	10.0
Cell_25582	116.0	7.0	10.0
Cell_25583	116.0	8.0	10.0
Cell_25584	116.0	9.0	10.0
Cell_25585	116.0	10.0	10.0
Cell_25586	116.0	11.0	10.0
Cell_25587	116.0	12.0	10.0
Cell_25588	116.0	13.0	10.0
Cell_25589	116.0	14.0	10.0
Cell_25590	116.0	15.0	10.0
Cell_25591	116.0	16.0	10.0
Cell_25592	116.0	17.0	10.0
Cell_25593	116.0	18.0	10.0
Cell_25594	116.0	19.0	10.0
Cell_25595	116.0	20.0	10.0
Cell_25596	116.0	21.0	10.0
Cell_25597	116.0	22.0	10.0
Cell_25598	116.0	23.0	10.0
Cell_25599	116.0	24.0	10.0
Cell_25600	116.0	25.0	10.0
Cell_25601	116.0	26.0	10.0
Cell_25602	116.0	27.0	10.0
Cell_25603	116.0	28.0	10.0
Cell_25604	116.0	29.0	10.0
Cell_25605	116.0	30.0	10.0
Cell_25606	116.0	31.0	10.0
Cell_25607	116.0	32.0	10.0
Cell_25608	116.0	33.0	10.0
Cell_25609	116.0	34.0	10.0
Cell_25610	116.0	35.0	10.0
Cell_25611	116.0	36.0	10.0
Cell_25612	116.0	37.0	10.0
Cell_25613	116.0	38.0	10.0
Cell_25614	116.0	39.0	10.0
Cell_25615	116.0	40.0	10.0
Cell_25616	116.0	41.0	10.0
Cell_25617	116.0	42.0	10.0
Cell_25618	116.0	43.0	10.0
Cell_25619	116.0	44.0	10.0
Cell_25620	116.0	45.0	10.0
Cell_25621	116.0	46.0	10.0
Cell_25622	116.0	47.0	10.0
Cell_25623	116.0	48.0	10.0
Cell_25624	116.0	49.0	10.0
Cell_25625	116.0	50.0	10.0
Cell_25626	116.0	51.0	10.0
Cell_25627	116.0	52.0	10.0
Cell_25628	116.0	53.0	10.0
Cell_25629	116.0	54.0	10.0
Cell_25630	116.0	55.0	10.0
Cell_25631	116.0	56.0	10.0
Cell_25632	116.0	57.0	10.0
Cell_25633	116.0	58.0	10.0
Cell_25634	116.0	59.0	10.0
Cell_25635	116.0	60.0	10.0
Cell_25636	116.0	61.0	10.0
Cell_25637	116.0	62.0	10.0
Cell_25638	116.0	63.0	10.0
Cell_25639	116.0	64.0	10.0
Cell_25640	116.0	65.0	10.0
Cell_25641	116.0	66.0	10.0
Cell_25642	116.0	67.0	10.0
Cell_25643	116.0	68.0	10.0
Cell_25644	116.0	69.0	10.0
Cell_25645	116.0	70.0	10.0
Cell_25646	116.0	71.0	10.0
Cell_25647	116.0	72.0	10.0
Cell_25648	116.0	73.0	10.0
Cell_25649	116.0	74.0	10.0
Cell_25650	116.0	75.0	10.0
Cell_25651	116.0	76.0	10.0
Cell_25652	116.0	77.0	10.0
Cell_25653	116.0	78.0	10.0
Cell_25654	116.0	79.0	10.0
Cell_25655	116.0	80.0	10.0
Cell_25656	116.0	81.0	10.0
Cell_25657	116.0	82.0	10.0
Cell_25658	116.0	83.0	10.0
Cell_25659	116.0	84.0	10.0
Cell_25660	116.0	85.0	10.0
Cell_25661	116.0	86.0	10.0
Cell_25662	116.0	87.0	10.0
Cell_25663	116.0	88.0	10.0
Cell_25664	116.0	89.0	10.0
Cell_25665	116.0	90.0	10.0
Cell_25666	116.0	91.0	10.0
Cell_25667	116.0	92.0	10.0
Cell_25668	116.0	93.0	10.0
Cell_25669	116.0	94.0	10.0
Cell_25670	116.0	95.0	10.0
Cell_25671	116.0	96.0	10.0
Cell_25672	116.0	97.0	10.0
Cell_25673	116.0	98.0	10.0
Cell_25674	116.0	99.0	10.0
Cell_25675	116.0	100.0	10.0
Cell_25676	116.0	101.0	10.0
Cell_25677	116.0	102.0	10.0
Cell_25678	116.0	103.0	10.0
Cell_25679	116.0	104.0	10.0
Cell_25680	116.0	105.0	10.0
Cell_25681	116.0	106.0	10.0
Cell_25682	116.0	107.0	10.0
Cell_25683	116.0	108.0	10.0
Cell_25684	116.0	109.0	10.0
Cell_25685	116.0	110.0	10.0
Cell_25686	116.0	111.0	10.0
Cell_25687	116.0	112.0	10.0
Cell_25688	116.0	113.0	10.0
Cell_25689	116.0	114.0	10.0
Cell_25690	116.0	115.0	10.0
Cell_25691	116.0	116.0	10.0
Cell_25692	116.0	117.0	10.0
Cell_25693	116.0	118.0	10.0
Cell_25694	116.0	119.0	10.0
Cell_25695	116.0	120.0	10.0
Cell_25696	116.0	121.0	10.0
Cell_25697	116.0	122.0	10.0
Cell_25698	116.0	123.0	10.0
Cell_25699	116.0	124.0	10.0
Cell_25700	116.0	125.0	10.0
Cell_25701	116.0	126.0	10.0
Cell_25702	116.0	127.0	10.0
Cell_25703	116.0	128.0	10.0
Cell_25704	116.0	129.0	10.0
Cell_25705	116.0	130.0	10.0
Cell_25706	116.0	131.0	10.0
Cell_25707	116.0	132.0	10.0
Cell_25708	116.0	133.0	10.0
Cell_25709	116.0	134.0	10.0
Cell_25710	116.0	135.0	10.0
Cell_25711	116.0	136.0	10.0
Cell_25712	116.0	137.0	10.0
Cell_25713	116.0	138.0	10.0
Cell_25714	116.0	139.0	10.0
Cell_25715	116.0	140.0	10.0
Cell_25716	116.0	141.0	10.0
Cell_25717	116.0	142.0	10.0
Cell_25718	116.0	143.0	10.0
Cell_25719	116.0	144.0	10.0
Cell_25720	116.0	146.0	10.0
Cell_25721	116.0	149.0	10.0
Cell_25722	116.0	153.0	10.0
Cell_25723	116.0	155.0	10.0
Cell_25724	116.0	156.0	10.0
Cell_25725	116.0	159.0	10.0
Cell_25726	116.0	160.0	10.0
Cell_25727	116.0	161.0	10.0
Cell_25728	116.0	162.0	10.0
Cell_25729	116.0	163.0	10.0
Cell_25730	116.0	164.0	10.0
Cell_25731	116.0	165.0	10.0
Cell_25732	116.0	166.0	10.0
Cell_25733	116.0	167.0	10.0
Cell_25734	116.0	168.0	10.0
Cell_25735	116.0	169.0	10.0
Cell_25736	116.0	170.0	10.0
Cell_25737	116.0	171.0	10.0
Cell_25738	116.0	172.0	10.0
Cell_25739	116.0	173.0	10.0
Cell_25740	116.0	174.0	10.0
Cell_25741	116.0	175.0	10.0
Cell_25742	116.0	176.0	10.0
Cell_25743	116.0	177.0	10.0
Cell_25744	116.0	178.0	10.0
Cell_25745	116.0	179.0	10.0
Cell_25746	116.0	180.0	10.0
Cell_25747	116.0	181.0	10.0
Cell_25748	116.0	182.0	10.0
Cell_25749	116.0	183.0	10.0
Cell_25750	116.0	184.0	10.0
Cell_25751	116.0	185.0	10.0
Cell_25752	116.0	186.0	10.0
Cell_25753	116.0	187.0	10.0
Cell_25754	116.0	188.0	10.0
Cell_25755	116.0	189.0	10.0
Cell_25756	116.0	190.0	10.0
Cell_25757	116.0	191.0	10.0
Cell_25758	116.0	192.0	10.0
Cell_25759	116.0	193.0	10.0
Cell_25760	116.0	194.0	10.0
Cell_25761	116.0	195.0	10.0
Cell_25762	116.0	196.0	10.0
Cell_25763	116.0	197.0	10.0
Cell_25764	116.0	198.0	10.0
Cell_25765	116.0	199.0	10.0
Cell_25766	117.0	0.0	10.0
Cell_25767	117.0	1.0	10.0
Cell_25768	117.0	2.0	10.0
Cell_25769	117.0	3.0	10.0
Cell_25770	117.0	4.0	10.0
Cell_25771	117.0	5.0	10.0
Cell_25772	117.0	6.0	10.0
Cell_25773	117.0	7.0	10.0
Cell_25774	117.0	8.0	10.0
Cell_25775	117.0	9.0	10.0
Cell_25776	117.0	10.0	10.0
Cell_25777	117.0	11.0	10.0
Cell_25778	117.0	12.0	10.0
Cell_25779	117.0	13.0	10.0
Cell_25780	117.0	14.0	10.0
Cell_25781	117.0	15.0	10.0
Cell_25782	117.0	16.0	10.0
Cell_25783	117.0	17.0	10.0
Cell_25784	117.0	18.0	10.0
Cell_25785	117.0	19.0	10.0
Cell_25786	117.0	20.0	10.0
Cell_25787	117.0	21.0	10.0
Cell_25788	117.0	22.0	10.0
Cell_25789	117.0	23.0	10.0
Cell_25790	117.0	24.0	10.0
Cell_25791	117.0	25.0	10.0
Cell_25792	117.0	26.0	10.0
Cell_25793	117.0	27.0	10.0
Cell_25794	117.0	28.0	10.0
Cell_25795	117.0	29.0	10.0
Cell_25796	117.0	30.0	10.0
Cell_25797	117.0	31.0	10.0
Cell_25798	117.0	32.0	10.0
Cell_25799	117.0	33.0	10.0
Cell_25800	117.0	34.0	10.0
Cell_25801	117.0	35.0	10.0
Cell_25802	117.0	36.0	10.0
Cell_25803	117.0	37.0	10.0
Cell_25804	117.0	38.0	10.0
Cell_25805	117.0	39.0	10.0
Cell_25806	117.0	40.0	10.0
Cell_25807	117.0	41.0	10.0
Cell_25808	117.0	42.0	10.0
Cell_25809	117.0	43.0	10.0
Cell_25810	117.0	44.0	10.0
Cell_25811	117.0	45.0	10.0
Cell_25812	117.0	46.0	10.0
Cell_25813	117.0	47.0	10.0
Cell_25814	117.0	48.0	10.0
Cell_25815	117.0	49.0	10.0
Cell_25816	117.0	50.0	10.0
Cell_25817	117.0	51.0	10.0
Cell_25818	117.0	52.0	10.0
Cell_25819	117.0	53.0	10.0
Cell_25820	117.0	54.0	10.0
Cell_25821	117.0	55.0	10.0
Cell_25822	117.0	56.0	10.0
Cell_25823	117.0	57.0	10.0
Cell_25824	117.0	58.0	10.0
Cell_25825	117.0	59.0	10.0
Cell_25826	117.0	60.0	10.0
Cell_25827	117.0	61.0	10.0
Cell_25828	117.0	62.0	10.0
Cell_25829	117.0	63.0	10.0
Cell_25830	117.0	64.0	10.0
Cell_25831	117.0	65.0	10.0
Cell_25832	117.0	66.0	10.0
Cell_25833	117.0	67.0	10.0
Cell_25834	117.0	68.0	10.0
Cell_25835	117.0	69.0	10.0
Cell_25836	117.0	70.0	10.0
Cell_25837	117.0	71.0	10.0
Cell_25838	117.0	72.0	10.0
Cell_25839	117.0	73.0	10.0
Cell_25840	117.0	74.0	10.0
Cell_25841	117.0	75.0	10.0
Cell_25842	117.0	76.0	10.0
Cell_25843	117.0	77.0	10.0
Cell_25844	117.0	78.0	10.0
Cell_25845	117.0	79.0	10.0
Cell_25846	117.0	80.0	10.0
Cell_25847	117.0	81.0	10.0
Cell_25848	117.0	82.0	10.0
Cell_25849	117.0	83.0	10.0
Cell_25850	117.0	84.0	10.0
Cell_25851	117.0	85.0	10.0
Cell_25852	117.0	86.0	10.0
Cell_25853	117.0	87.0	10.0
Cell_25854	117.0	88.0	10.0
Cell_25855	117.0	89.0	10.0
Cell_25856	117.0	90.0	10.0
Cell_25857	117.0	91.0	10.0
Cell_25858	117.0	92.0	10.0
Cell_25859	117.0	93.0	10.0
Cell_25860	117.0	94.0	10.0
Cell_25861	117.0	95.0	10.0
Cell_25862	117.0	96.0	10.0
Cell_25863	117.0	97.0	10.0
Cell_25864	117.0	98.0	10.0
Cell_25865	117.0	99.0	10.0
Cell_25866	117.0	100.0	10.0
Cell_25867	117.0	101.0	10.0
Cell_25868	117.0	102.0	10.0
Cell_25869	117.0	103.0	10.0
Cell_25870	117.0	104.0	10.0
Cell_25871	117.0	105.0	10.0
Cell_25872	117.0	106.0	10.0
Cell_25873	117.0	107.0	10.0
Cell_25874	117.0	108.0	10.0
Cell_25875	117.0	109.0	10.0
Cell_25876	117.0	110.0	10.0
Cell_25877	117.0	111.0	10.0
Cell_25878	117.0	112.0	10.0
Cell_25879	117.0	113.0	10.0
Cell_25880	117.0	114.0	10.0
Cell_25881	117.0	115.0	10.0
Cell_25882	117.0	116.0	10.0
Cell_25883	117.0	117.0	10.0
Cell_25884	117.0	118.0	10.0
Cell_25885	117.0	119.0	10.0
Cell_25886	117.0	120.0	10.0
Cell_25887	117.0	121.0	10.0
Cell_25888	117.0	122.0	10.0
Cell_25889	117.0	123.0	10.0
Cell_25890	117.0	124.0	10.0
Cell_25891	117.0	125.0	10.0
Cell_25892	117.0	126.0	10.0
Cell_25893	117.0	127.0	10.0
Cell_25894	117.0	128.0	10.0
Cell_25895	117.0	129.0	10.0
Cell_25896	117.0	130.0	10.0
Cell_25897	117.0	131.0	10.0
Cell_25898	117.0	132.0	10.0
Cell_25899	117.0	133.0	10.0
Cell_25900	117.0	134.0	10.0
Cell_25901	117.0	135.0	10.0
Cell_25902	117.0	136.0	10.0
Cell_25903	117.0	137.0	10.0
Cell_25904	117.0	138.0	10.0
Cell_25905	117.0	139.0	10.0
Cell_25906	117.0	140.0	10.0
Cell_25907	117.0	141.0	10.0
Cell_25908	117.0	142.0	10.0
Cell_25909	117.0	143.0	10.0
Cell_25910	117.0	144.0	10.0
Cell_25911	117.0	146.0	10.0
Cell_25912	117.0	149.0	10.0
Cell_25913	117.0	156.0	10.0
Cell_25914	117.0	157.0	10.0
Cell_25915	117.0	159.0	10.0
Cell_25916	117.0	160.0	10.0
Cell_25917	117.0	161.0	10.0
Cell_25918	117.0	163.0	10.0
Cell_25919	117.0	164.0	10.0
Cell_25920	117.0	165.0	10.0
Cell_25921	117.0	166.0	10.0
Cell_25922	117.0	167.0	10.0
Cell_25923	117.0	168.0	10.0
Cell_25924	117.0	169.0	10.0
Cell_25925	117.0	170.0	10.0
Cell_25926	117.0	171.0	10.0
Cell_25927	117.0	172.0	10.0
Cell_25928	117.0	173.0	10.0
Cell_25929	117.0	174.0	10.0
Cell_25930	117.0	175.0	10.0
Cell_25931	117.0	176.0	10.0
Cell_25932	117.0	177.0	10.0
Cell_25933	117.0	178.0	10.0
Cell_25934	117.0	179.0	10.0
Cell_25935	117.0	180.0	10.0
Cell_25936	117.0	181.0	10.0
Cell_25937	117.0	182.0	10.0
Cell_25938	117.0	183.0	10.0
Cell_25939	117.0	184.0	10.0
Cell_25940	117.0	185.0	10.0
Cell_25941	117.0	186.0	10.0
Cell_25942	117.0	187.0	10.0
Cell_25943	117.0	188.0	10.0
Cell_25944	117.0	189.0	10.0
Cell_25945	117.0	190.0	10.0
Cell_25946	117.0	191.0	10.0
Cell_25947	117.0	192.0	10.0
Cell_25948	117.0	193.0	10.0
Cell_25949	117.0	194.0	10.0
Cell_25950	117.0	195.0	10.0
Cell_25951	117.0	196.0	10.0
Cell_25952	117.0	197.0	10.0
Cell_25953	117.0	198.0	10.0
Cell_25954	117.0	199.0	10.0
Cell_25955	118.0	0.0	10.0
Cell_25956	118.0	1.0	10.0
Cell_25957	118.0	2.0	10.0
Cell_25958	118.0	3.0	10.0
Cell_25959	118.0	4.0	10.0
Cell_25960	118.0	5.0	10.0
Cell_25961	118.0	6.0	10.0
Cell_25962	118.0	7.0	10.0
Cell_25963	118.0	8.0	10.0
Cell_25964	118.0	9.0	10.0
Cell_25965	118.0	10.0	10.0
Cell_25966	118.0	11.0	10.0
Cell_25967	118.0	12.0	10.0
Cell_25968	118.0	13.0	10.0
Cell_25969	118.0	14.0	10.0
Cell_25970	118.0	15.0	10.0
Cell_25971	118.0	16.0	10.0
Cell_25972	118.0	17.0	10.0
Cell_25973	118.0	18.0	10.0
Cell_25974	118.0	19.0	10.0
Cell_25975	118.0	20.0	10.0
Cell_25976	118.0	21.0	10.0
Cell_25977	118.0	22.0	10.0
Cell_25978	118.0	23.0	10.0
Cell_25979	118.0	24.0	10.0
Cell_25980	118.0	25.0	10.0
Cell_25981	118.0	26.0	10.0
Cell_25982	118.0	27.0	10.0
Cell_25983	118.0	28.0	10.0
Cell_25984	118.0	29.0	10.0
Cell_25985	118.0	30.0	10.0
Cell_25986	118.0	31.0	10.0
Cell_25987	118.0	32.0	10.0
Cell_25988	118.0	33.0	10.0
Cell_25989	118.0	34.0	10.0
Cell_25990	118.0	35.0	10.0
Cell_25991	118.0	36.0	10.0
Cell_25992	118.0	37.0	10.0
Cell_25993	118.0	38.0	10.0
Cell_25994	118.0	39.0	10.0
Cell_25995	118.0	40.0	10.0
Cell_25996	118.0	41.0	10.0
Cell_25997	118.0	42.0	10.0
Cell_25998	118.0	43.0	10.0
Cell_25999	118.0	44.0	10.0
Cell_26000	118.0	45.0	10.0
Cell_26001	118.0	46.0	10.0
Cell_26002	118.0	47.0	10.0
Cell_26003	118.0	48.0	10.0
Cell_26004	118.0	49.0	10.0
Cell_26005	118.0	50.0	10.0
Cell_26006	118.0	51.0	10.0
Cell_26007	118.0	52.0	10.0
Cell_26008	118.0	53.0	10.0
Cell_26009	118.0	54.0	10.0
Cell_26010	118.0	55.0	10.0
Cell_26011	118.0	56.0	10.0
Cell_26012	118.0	57.0	10.0
Cell_26013	118.0	58.0	10.0
Cell_26014	118.0	59.0	10.0
